Repos,id,stars,forks,commits,contributors,releases,branches,open_pulls,closed_pulls,open_issues,closed_issues,size,archived,created_at,updated_at,age,language,,pull_requests,issues
advimman/HiDT,247065521,629,88,30,5,0,0,1,3,7,6,182158,FALSE,3/13/2020 0:00,3/7/2023 0:00,36,Jupyter Notebook,,4,13
hayntopdawg/FantasyFootballML,40691072,3,1,22,0,0,0,0,0,0,0,136,FALSE,8/14/2015 0:00,11/8/2022 0:00,87,Python,,0,0
stardust-88/Variational_Recurrent_Neural_Network,413177715,1,1,15,0,0,0,0,0,0,0,34862,FALSE,10/3/2021 0:00,1/25/2022 0:00,3,Jupyter Notebook,,0,0
inspirehep/magpie,46973796,666,190,196,4,4,5,2,30,47,119,95373,FALSE,11/27/2015 0:00,2/27/2023 0:00,87,Python,,32,166
b3nk4n/imseq,60691316,11,8,83,0,0,0,0,0,1,0,1588,FALSE,6/8/2016 0:00,4/2/2022 0:00,70,Jupyter Notebook,,0,1
pratikIT95/Deep-Learning-Based-Offline-Signature-Verification,137710215,1,2,4,2,0,0,0,0,0,0,1268,FALSE,6/18/2018 0:00,8/17/2021 0:00,38,Python,,0,0
PacktPublishing/Mastering-Machine-Learning-with-R-Third-Edition,169069442,20,26,11,2,0,0,0,0,0,0,31751,FALSE,2/4/2019 0:00,12/23/2022 0:00,46,R,,0,0
nasib-ullah/video-captioning-models-in-Pytorch,333657270,56,12,132,0,0,0,0,0,1,4,77426,FALSE,1/28/2021 0:00,3/10/2023 0:00,26,Python,,0,5
javascript-machine-learning/svm-spam-classifier-javascript,114713781,8,4,3,0,0,0,0,0,0,0,234,FALSE,12/19/2017 0:00,9/25/2022 0:00,57,JavaScript,,0,0
HIMIFDA/machine-learning-titanic,77749966,6,1,10,0,0,0,0,0,0,0,2630,FALSE,12/31/2016 0:00,11/18/2017 0:00,11,Python,,0,0
belkakari/cellular-automata-pytorch,242075259,15,3,112,0,0,2,0,4,0,0,13777,FALSE,2/21/2020 0:00,12/2/2022 0:00,34,Python,,4,0
khushhallchandra/pytorch-rl,116567762,15,2,20,2,0,0,0,0,0,0,1314,FALSE,1/7/2018 0:00,5/20/2022 0:00,52,Python,,0,0
WinChua/CDRTR,159299471,8,2,67,0,0,0,0,0,0,0,7169,FALSE,11/27/2018 0:00,6/29/2022 0:00,43,Python,,0,0
daisenryaku/pytorch-fcn,109457893,7,1,14,0,0,7,6,8,0,1,174,FALSE,11/4/2017 0:00,1/30/2023 0:00,62,Python,,14,1
Soualihou237/Dental-Caries-Prediction-Using-Machine-Learning,441908270,5,1,9,0,0,0,0,0,0,0,2097,FALSE,12/26/2021 0:00,2/4/2023 0:00,14,Jupyter Notebook,,0,0
jhashekhar/generative-models,175970544,1,2,14,0,0,0,0,0,0,0,909,FALSE,3/16/2019 0:00,1/9/2022 0:00,34,Jupyter Notebook,,0,0
DemystifAI/explainableAI,166231682,14,7,21,2,0,2,0,1,0,0,8615,FALSE,1/17/2019 0:00,7/8/2022 0:00,42,Jupyter Notebook,,1,0
KMdsy/DTCR,281934126,18,6,9,0,0,0,0,0,1,2,39,FALSE,7/23/2020 0:00,3/12/2023 0:00,32,Python,,0,3
samwalrus/machine_learning,85395235,4,2,25,0,0,0,0,1,0,0,32,FALSE,3/18/2017 0:00,10/13/2022 0:00,67,Prolog,,1,0
luciakasman/property-data-analysis,417542351,6,2,7,0,0,0,0,0,0,0,15466,FALSE,10/15/2021 0:00,11/25/2022 0:00,13,Jupyter Notebook,,0,0
sharmaroshan/Coursera-Reviews-Analysis,183069909,6,2,11,0,0,0,0,0,0,0,21062,FALSE,4/23/2019 0:00,8/23/2022 0:00,40,Jupyter Notebook,,0,0
msapurva/Failure-Prediction-Model,175677737,1,1,6,0,0,0,0,0,0,0,171,FALSE,3/14/2019 0:00,12/27/2021 0:00,33,Jupyter Notebook,,0,0
BensonRen/idlm_Pytorch,223843938,1,4,271,2,0,0,0,0,0,1,33268,FALSE,11/25/2019 0:00,12/9/2020 0:00,13,Python,,0,1
waybarrios/TensorFlow_CNN,45993243,14,9,3,0,0,0,0,0,0,0,0,FALSE,11/11/2015 0:00,6/30/2021 0:00,67,Python,,0,0
cdluminate/robdml,422324810,17,1,694,0,0,0,0,0,0,0,16139,FALSE,10/28/2021 0:00,10/23/2022 0:00,12,Python,,0,0
SoumyadeepB/DeepLearning,270832532,1,1,58,0,0,2,0,1,1,0,1688,FALSE,6/8/2020 0:00,5/12/2021 0:00,11,Jupyter Notebook,,1,1
BrightHaozi/Machine-Learning-note,295423241,3,1,33,0,0,0,0,0,0,0,77603,FALSE,9/14/2020 0:00,11/30/2021 0:00,14,Jupyter Notebook,,0,0
MiniEval/pytorch-gken,387313851,9,3,11,0,1,0,0,0,0,1,30,FALSE,7/19/2021 0:00,2/12/2023 0:00,19,Python,,0,1
Koryto/Sendemo-AI,275156125,1,1,1,0,0,0,0,0,0,0,274,FALSE,6/26/2020 0:00,12/11/2020 0:00,6,Jupyter Notebook,,0,0
kunalavghade/VBIRRS,557151533,4,1,29,2,0,3,0,4,0,0,138811,FALSE,10/25/2022 0:00,2/20/2023 0:00,4,Python,,4,0
deenuy/cnn-obj-recognitions,496083548,1,1,3,0,0,0,0,0,0,0,45237,FALSE,5/25/2022 0:00,5/25/2022 0:00,0,Jupyter Notebook,,0,0
zaidjamal-op/UBER-data-analysis-machine-learning-,366921747,1,1,1,0,0,0,0,0,0,0,264,FALSE,5/13/2021 0:00,7/5/2022 0:00,14,Jupyter Notebook,,0,0
doc-ai/react-native-tensorio,168232853,18,5,52,2,3,4,1,11,0,2,68,FALSE,1/29/2019 0:00,10/19/2022 0:00,45,Objective-C++,,12,2
kimim/clj-djl-examples,295594651,2,1,9,0,0,0,0,0,0,2,45,FALSE,9/15/2020 0:00,3/5/2023 0:00,30,Clojure,,0,2
azhartalha/Traffic-Survalance-with-Computer-Vision-and-Deep-Learning,179923506,50,30,3,0,0,0,0,0,6,4,140232,FALSE,4/7/2019 0:00,2/16/2023 0:00,46,Python,,0,10
bioinformatics-sannio/ncrna-deep,241634044,7,2,48,2,0,0,0,0,1,0,179510,FALSE,2/19/2020 0:00,12/6/2022 0:00,34,Jupyter Notebook,,0,1
addisonklinke/pytorch-architectures,234775516,4,2,24,2,0,0,0,1,1,0,22,FALSE,1/18/2020 0:00,2/10/2021 0:00,13,Python,,1,1
felipetovarhenao/gamut,380862881,4,1,279,0,0,3,0,0,0,0,5528,FALSE,6/28/2021 0:00,2/21/2023 0:00,20,Python,,0,0
LQJecho/Channel-Estimation-and-Hybrid-Precoding-for-Millimeter-Wave-Systems-Based-on-Deep-Learning,359022390,8,5,8,0,0,0,0,0,3,0,33296,FALSE,4/18/2021 0:00,3/4/2023 0:00,23,MATLAB,,0,3
jenhuluck/Deep-Learning-in-Human-Activity-Recognition-,279153952,6,1,11,0,0,2,0,1,0,0,19038,FALSE,7/12/2020 0:00,3/9/2023 0:00,32,Python,,1,0
praneet1988/ELeFHAnt-Shiny,408917272,1,2,18,2,2,0,0,0,0,0,722,FALSE,9/21/2021 0:00,10/13/2021 0:00,1,R,,0,0
ReubenMathew/DataOpsExperiments,158554346,1,1,11,0,0,0,0,0,0,0,44738,FALSE,11/21/2018 0:00,3/28/2020 0:00,16,HTML,,0,0
chiehpower/Setup-deeplearning-tools,243426358,39,6,78,0,0,2,0,2,1,1,4927,FALSE,2/27/2020 0:00,3/9/2023 0:00,37,Python,,2,2
andreagemelli/doc2graph,486600481,33,7,50,2,0,2,0,0,0,9,487998,FALSE,4/28/2022 0:00,2/27/2023 0:00,10,Python,,0,9
Barabasi-Lab/AI-Bind,486370722,5,1,114,2,2,0,0,0,0,0,129693,FALSE,4/27/2022 0:00,2/2/2023 0:00,10,Jupyter Notebook,,0,0
prottaymalakar-cloud/Data-Driven-Machine-Learning-to-Predict-Mechanical-Properties-of-Monolayer-TMDs,519190245,1,1,10,0,0,0,0,0,0,0,508,FALSE,7/29/2022 0:00,11/1/2022 0:00,4,Python,,0,0
parasj/contracode,257438133,148,23,296,3,0,5,1,20,0,11,10633,FALSE,4/21/2020 0:00,3/2/2023 0:00,35,Jupyter Notebook,,21,11
DrSnowbird/knime-vnc-docker,163745350,12,9,41,0,9,0,0,0,1,1,715,FALSE,1/1/2019 0:00,2/26/2022 0:00,37,Shell,,0,2
yu4u/cutout-random-erasing,108452896,165,38,8,2,0,0,0,1,5,1,120,FALSE,10/26/2017 0:00,12/22/2022 0:00,62,Jupyter Notebook,,1,6
liuhengli/Deep-Reinforcement-Learning,100156570,2,1,4,0,0,0,0,0,0,0,25,FALSE,8/13/2017 0:00,2/8/2018 0:00,6,Python,,0,0
ZhiyuanDang/NNM,350986504,46,7,10,0,0,0,0,0,5,5,16401,FALSE,3/24/2021 0:00,11/18/2022 0:00,20,Python,,0,10
PacktPublishing/Machine-Learning-End-to-Endguide-for-Java-developers,100240919,20,16,9,0,0,3,3,1,0,0,138793,FALSE,8/14/2017 0:00,10/26/2022 0:00,62,Java,,4,0
Deamoner/privyfilter,269399705,7,1,30,0,0,3,0,2,0,5,74449,FALSE,6/4/2020 0:00,4/25/2022 0:00,22,Jupyter Notebook,,2,5
p-koo/deepomics,76582631,21,7,140,4,0,2,2,3,0,0,57005,FALSE,12/15/2016 0:00,10/5/2022 0:00,70,Python,,5,0
convolversandtransformers/homl2,289694434,2,2,17,2,0,0,0,7,1,0,797,FALSE,8/23/2020 0:00,10/6/2020 0:00,2,Jupyter Notebook,,7,1
yanghua23/KaggleHousePrice_MLProject,124025712,2,4,7,2,0,0,0,0,0,0,5825,FALSE,3/6/2018 0:00,7/3/2021 0:00,40,Jupyter Notebook,,0,0
alexhagiopol/multiscale-CNN-classifier,89289597,21,11,155,14,0,0,0,2,2,0,7498,FALSE,4/24/2017 0:00,11/11/2022 0:00,67,Jupyter Notebook,,2,2
microsoft/human-pose-estimation.pytorch,143120668,2776,598,38,12,0,5,6,15,94,75,74,FALSE,8/1/2018 0:00,3/16/2023 0:00,55,Python,,21,169
ArizaQ/MachineLearning,483916055,1,1,7,2,0,2,0,2,0,0,8840,FALSE,4/21/2022 0:00,4/21/2022 0:00,0,Python,,2,0
tonypeng/tensorstyle,66128532,20,2,30,0,0,0,0,0,0,2,2752,FALSE,8/20/2016 0:00,4/23/2022 0:00,68,Python,,0,2
dianalam/perceived-safety,53623964,1,1,32,0,0,0,0,0,0,0,12746,FALSE,3/10/2016 0:00,11/9/2018 0:00,32,Jupyter Notebook,,0,0
harnoor96/DS-and-ML,291220185,2,1,11,2,0,0,0,0,0,0,249378,FALSE,8/29/2020 0:00,7/7/2021 0:00,11,Jupyter Notebook,,0,0
bpbpublications/Practical-Machine-Learning-with-Spark,476799102,1,3,2,0,0,0,0,0,0,0,39,FALSE,4/1/2022 0:00,10/20/2022 0:00,6,Python,,0,0
FedericaLucia/Drug-NER-Spacy-Keras,143472301,2,1,2,0,0,0,0,0,0,0,10,FALSE,8/3/2018 0:00,5/7/2019 0:00,9,Python,,0,0
Keerthiraj-Nagaraj/ML4SCI-hackathon-project,317428147,1,1,13,0,0,0,0,0,0,0,7906,FALSE,12/1/2020 0:00,12/7/2020 0:00,0,Jupyter Notebook,,0,0
yeyupiaoling/LearnPaddle,118303333,350,132,51,0,0,0,0,1,0,1,304316,FALSE,1/21/2018 0:00,3/8/2023 0:00,62,Python,,1,1
tomelf/Paper-CICLing-2017-An-event-detection-approach-based-on-Twitter-hashtags,82970414,4,1,10,0,0,2,0,1,0,0,2135,FALSE,2/23/2017 0:00,3/1/2022 0:00,61,Python,,1,0
ravinsharma12345/CS224d-deep-learning-nlp,31906637,1,2,6,0,0,0,0,0,0,0,119,FALSE,3/9/2015 0:00,4/17/2020 0:00,61,Python,,0,0
YU1ut/MixMatch-pytorch,187955577,571,125,20,5,0,0,5,5,21,16,21,FALSE,5/22/2019 0:00,3/12/2023 0:00,46,Python,,10,37
